Time,rot_x,rot_y,rot_z,a_x,a_y,a_z,hpa,stat
000035.1133,,,,,,,1012.13,14.11
000035.1671,-2051.,32.000,-19.00,-13.66,-13.37,13.375,,
000035.2506,,,,,,,1012.15,14.10
000035.3083,-2048.,44.000,-31.00,3.3399,-5.375,-3.625,,
000035.3878,,,,,,,1012.15,14.10
000035.4416,-2054.,28.000,-21.00,32.339,-6.375,-10.62,,
000035.5251,,,,,,,1012.13,14.11
000035.5790,-2051.,31.000,-33.00,0.3399,-17.37,5.3750,,
000035.6633,,,,,,,1012.14,14.10
000035.7163,-2046.,35.000,-32.00,5.3399,-45.37,40.375,,
000035.7997,,,,,,,1012.15,14.10
000035.8574,-2047.,34.000,-20.00,8.3399,-22.37,-11.62,,
000035.9370,,,,,,,1012.17,14.11
000035.9908,-2049.,36.000,-22.00,-19.66,-1.375,11.375,,
000036.0742,,,,,,,1012.14,14.10
000036.1281,-2053.,34.000,-37.00,18.339,14.625,45.375,,
000036.2115,,,,,,,1012.13,14.10
000036.2653,-2053.,37.000,-24.00,1.3399,-36.37,24.375,,
000036.3488,,,,,,,1012.13,14.10
000036.4065,-2046.,32.000,-12.00,-12.66,-53.37,-10.62,,
000036.4861,,,,,,,1012.11,14.09
000036.5399,-2043.,29.000,-30.00,-4.660,1.6250,-14.62,,
000036.6234,,,,,,,1012.14,14.11
000036.6772,-2048.,33.000,-35.00,-20.66,-22.37,-23.62,,
000036.7606,,,,,,,1012.10,14.10
000036.8145,-2044.,36.000,-32.00,-14.66,-33.37,-3.625,,
000036.9007,,,,,,,1012.10,14.09
000036.9518,-2043.,32.000,-21.00,-11.66,-41.37,-13.62,,
000037.0352,,,,,,,1012.15,14.10
000037.0890,-2044.,27.000,-31.00,2.3399,2.6250,13.375,,
000037.1725,,,,,,,1012.10,14.09
000037.2263,-2047.,43.000,-35.00,-3.660,18.625,12.375,,
000037.3098,,,,,,,1012.13,14.11
000037.3636,-2045.,38.000,-38.00,8.3399,-6.375,-13.62,,
000037.4498,,,,,,,1012.13,14.11
000037.5009,-2044.,21.000,-28.00,13.339,-4.375,15.375,,
000037.5843,,,,,,,1012.11,14.10
000037.6382,-2052.,37.000,-27.00,-16.66,-18.37,3.3750,,
000037.7216,,,,,,,1012.13,14.10
